,name,link,min_money,max_money,value,site
53,Заместитель директора филиала по СМР (Бангладеш),https://hh.ru/vacancy/49115878?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
54,Электрогазосварщик,https://hh.ru/vacancy/49097868?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
55,Менеджер по продажам интернет магазина,https://hh.ru/vacancy/49127724?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,50000.0,70000.0,руб.,https://www.hh.ru/search/vacancy
56,Механик,https://hh.ru/vacancy/49092592?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,45000.0,,руб.,https://www.hh.ru/search/vacancy
57,"Специалист 1,2 категории Договорного отдела",https://hh.ru/vacancy/44899540?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
58,Инженер - теплотехник (ЖКХ),https://hh.ru/vacancy/47464488?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
59,Инженер-Технолог (теплотехник),https://hh.ru/vacancy/47336113?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,68250,руб.,https://www.hh.ru/search/vacancy
60,Инженер на участок вентиляции и холодоснабжения,https://hh.ru/vacancy/48968817?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,80000.0,,руб.,https://www.hh.ru/search/vacancy
61,Начальник отдела технического надзора (EPC - проект на Ближнем Востоке),https://hh.ru/vacancy/48240225?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
62,Машинист-обходчик по турбинному оборудованию (ЮАО),https://hh.ru/vacancy/46533539?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,50000.0,55000.0,руб.,https://www.hh.ru/search/vacancy
63,Специалист по закупкам,https://hh.ru/vacancy/48120962?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
64,"Инженер-проектировщик (схемы теплоснабжения, удаленно)",https://hh.ru/vacancy/49090104?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
65,Слесарь-теплотехник,https://hh.ru/vacancy/48647671?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
66,Ведущий инженер по КИП (проект на Ближнем Востоке),https://hh.ru/vacancy/48147932?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
67,"Главный специалист отдела эксплуатации, ремонта и реконструкции",https://hh.ru/vacancy/48950207?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
68,Инженер (специалист) отдела испытаний,https://hh.ru/vacancy/48970642?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
69,Специалист по промышленной кооперации (производство спецнасосов),https://hh.ru/vacancy/48975776?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
70,Главный специалист,https://hh.ru/vacancy/48970090?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,65000.0,,руб.,https://www.hh.ru/search/vacancy
71,Техник-теплотехник 1 категории,https://hh.ru/vacancy/48942433?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,50000,руб.,https://www.hh.ru/search/vacancy
72,Главный специалист по направлению «Теплоэнергетика»,https://hh.ru/vacancy/47403377?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
73,Инженер (электроэнергетика),https://hh.ru/vacancy/48701799?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
74,Инженер (руководитель) проекта,https://hh.ru/vacancy/48971185?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
75,Ведущий инженер-конструктор ПГС / Инженер-конструктор 1 категория,https://hh.ru/vacancy/48960029?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,70000.0,90000.0,руб.,https://www.hh.ru/search/vacancy
76,Инженер по подбору отопительного оборудования,https://hh.ru/vacancy/47948890?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
77,Инженер по расчету внутренних инженерных систем,https://hh.ru/vacancy/46118054?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
78,Главный инженер,https://hh.ru/vacancy/48281501?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,140000.0,150000.0,руб.,https://www.hh.ru/search/vacancy
79,Инженер проектировщик АСУ ТП,https://hh.ru/vacancy/47444100?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,120000.0,120000.0,руб.,https://www.hh.ru/search/vacancy
80,Инженер-конструктор теплотехник,https://hh.ru/vacancy/48771282?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
81,Начальник теплотехнической службы,https://hh.ru/vacancy/48019420?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,100000.0,130000.0,руб.,https://www.hh.ru/search/vacancy
82,Ведущий инженер по тепломеханическому оборудованию (проект на Ближнем Востоке),https://hh.ru/vacancy/48767399?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
83,Инженер-конструктор 2 категории,https://hh.ru/vacancy/38943005?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
84,Инженер-теплотехник,https://hh.ru/vacancy/45654785?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
85,Инженер-теплотехник (м. Дмитровская),https://hh.ru/vacancy/47008977?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
86,Проектировщик ОВиК/теплотехник,https://hh.ru/vacancy/48935192?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
